id_num,tender_id,tender_link,legal_entity,tender_title,purchase_stage,published_date,submission_deadline,purchase_class,initial_max_price,tektorg_link
601191,601191,http://zakupki.rosneft.ru/node/601191,"ООО ""РН-Комсомольский НПЗ""",Поставка манометров и двухвентильных блоков,Запрос оферт,12.11.2020 - 10:47,30.11.2020 - 05:00,поставка материально-технических ресурсов,0.00 руб.,Not specified
601199,601199,http://zakupki.rosneft.ru/node/601199,ООО ИК «СИБИНТЕК»,Закупка оборудования видеоконференцсвязи с ШМР/ПНР,Запрос цен,12.11.2020 - 11:02,26.11.2020 - 18:00,прочие услуги,Не публикуется,Not specified
601201,601201,http://zakupki.rosneft.ru/node/601201,ООО ИК «СИБИНТЕК»,Закупка бумаги для печати для МРЦ,Запрос цен,12.11.2020 - 11:03,30.11.2020 - 23:59,поставка материально-технических ресурсов,Не публикуется,Not specified
601203,601203,http://zakupki.rosneft.ru/node/601203,"ООО ""РН-Бурение""","Проверка оборудования методами неразрушающего контроля (УЗК) для Восточно-Сибирского филиала ООО ""РН-Бурение""",Запрос цен,12.11.2020 - 11:11,26.11.2020 - 19:00,прочие услуги,4 240 519.26 руб.,Not specified
601204,601204,http://zakupki.rosneft.ru/node/601204,"ООО ""РН-Бурение""","Услуги по обслуживанию и ремонту оргтехники, компьютеров и серверов для Восточно-Сибирского филиала ООО ""РН-Бурение""",Запрос цен,12.11.2020 - 11:11,26.11.2020 - 19:00,ИТ-проекты и услуги связи,1 231 436.30 руб.,Not specified
601214,601214,http://zakupki.rosneft.ru/node/601214,ООО ИК «СИБИНТЕК»,Поставка оборудования ВКС,Запрос цен,12.11.2020 - 11:25,26.11.2020 - 18:00,поставка материально-технических ресурсов,Не публикуется,Not specified
601219,601219,http://zakupki.rosneft.ru/node/601219,ООО ИК «СИБИНТЕК»,«Выполнение работ по техническому обслуживанию лабораторного оборудования»,Запрос цен,12.11.2020 - 11:29,26.11.2020 - 18:00,прочие услуги,Не публикуется,Not specified
601225,1313-20-ФХД-52,http://zakupki.rosneft.ru/node/601225,"ОАО ""Ангарскнефтехимпроект""",Приобретение оборудования для автоматизации проведения инвентаризации,Запрос оферт,12.11.2020 - 11:56,30.11.2020 - 17:00,прочие услуги,0.00 руб.,Not specified
601227,601227,http://zakupki.rosneft.ru/node/601227,"ООО ""РН-Пурнефтегаз""",Выполнение комплекса инженерно-изыскательских и землеустроительных работ на эксплуатацию  карьера песка № 104 Барсуковского месторождения с подъездными автодорогами,Запрос цен,12.11.2020 - 11:58,27.11.2020 - 10:00,проектно-изыскательские работы,6 525 375.89 руб.,Not specified
601234,601234,http://zakupki.rosneft.ru/node/601234,ООО ИК «СИБИНТЕК»,Оказание услуг междугородней и международной телефонной связи,Запрос цен,12.11.2020 - 12:31,27.11.2020 - 18:00,ИТ-проекты и услуги связи,Не публикуется,Not specified
601217,601217,http://zakupki.rosneft.ru/node/601217,"АО ""РН-Ростовнефтепродукт""",Выполнение работ по текущему ремонту дорожного покрытия на АЗК/АЗС,Запрос оферт,12.11.2020 - 11:29,26.11.2020 (All day),прочие услуги,14 400 000.00 руб.,Not specified
601299,2000334101,http://zakupki.rosneft.ru/node/601299,"ООО ""РН-Юганскнефтегаз""",Выполнение работ по техническому обслуживанию и текущему ремонту подъемных сооружений,Запрос цен,12.11.2020 - 15:15,26.11.2020 - 16:00,нефтепромысловые услуги,0.00 руб.,Not specified
601301,677-04/9131,http://zakupki.rosneft.ru/node/601301,"ОАО ""Новокуйбышевский НПЗ""",Трубопроводная арматура для гидрокрекинга,Запрос оферт,12.11.2020 - 15:19,26.11.2020 - 22:00,поставка материально-технических ресурсов,0.00 руб.,https://www.tektorg.ru/rosneft/procedures/543624?lang=ru
601305,601305,http://zakupki.rosneft.ru/node/601305,"ООО ""РН-Сервис""","ФН-21-04 Оказание автотранспортных услуг по перевозке пассажиров автобусами и легковым транспортом для нужд филиала ООО ""РН-Сервис"" в г. Нягань с 01.03.2021г. - 28.02.2022г.",Запрос оферт,12.11.2020 - 15:25,26.11.2020 (All day),прочие услуги,0.00 руб.,Not specified
601309,601309,http://zakupki.rosneft.ru/node/601309,"ООО ""РН-Сервис""","ФН-21-05 Оказание автотранспортных услуг седельными тягачами  для нужд филиала ООО ""РН-Сервис"" в г. Нягань с 01.03.2021г. по 28.02.2022г.",Запрос оферт,12.11.2020 - 15:35,26.11.2020 (All day),прочие услуги,0.00 руб.,Not specified
601311,РН01104240,http://zakupki.rosneft.ru/node/601311,ПАО «Саратовский НПЗ»,"Поставка деталей трубопроводов на проекты «Замена технологических трубопроводов из углеродистых сталей на установках ПАО ""Саратовский НПЗ"". 2021г"", «Дооснащение внутрипроизводственных материальных потоков средствами измерений для формирования достоверного материального баланса ПАО ""Саратовский НПЗ"". 2 этап», «Дооснащение насосного оборудования на установке Л-24-6 фильтрами и датчиками наличия жидкости» для ПАО «Саратовский НПЗ» (прейскурант цен на 2021-2022 год)",Запрос оферт,12.11.2020 - 15:39,26.11.2020 - 22:59,поставка материально-технических ресурсов,не публикуется,Not specified
601315,НВ-0667-2020,http://zakupki.rosneft.ru/node/601315,Филиал ПАО АНК «Башнефть» «Башнефть -Уфанефтехим»,"Проведение работ по подготовке к зиме, ремонт пароспутников на объектах филиала ПАО АНК ""Башнефть"" ""Башнефть-Новойл""",Запрос цен,12.11.2020 - 15:45,27.11.2020 - 10:00,прочие услуги,54 509 937.24 руб.,https://rn.tektorg.ru/
601349,601349,http://zakupki.rosneft.ru/node/601349,ООО «РН-Снабжение-Самара»,Кабель монтажный_186304,Запрос оферт,12.11.2020 - 16:48,27.11.2020 - 16:00,поставка материально-технических ресурсов,0.00 руб.,
601351,601351,http://zakupki.rosneft.ru/node/601351,ПАО «НК «Роснефть» - Кубаньнефтепродукт»,Поставка огнетушителей,Запрос оферт,12.11.2020 - 16:48,27.11.2020 - 12:00,поставка материально-технических ресурсов,0.00 руб.,Not specified
