product_name,product_url,product_image_link,product_price
Salinas,https://www.glassesshop.com/eyeglasses/fp2124,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f30d30f5d6a5.jpg",$24.95
Fresno,https://www.glassesshop.com/eyeglasses/fp2039,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e377f795f84d.jpg",$12.95
Omar,https://www.glassesshop.com/eyeglasses/fm1271,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b4c4d7b98167.jpg",$19.95
Darcy,https://www.glassesshop.com/eyeglasses/sm0787,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201811/5bff5bf283882.jpg",$19.95
Darlene,https://www.glassesshop.com/eyeglasses/fp1181,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e9808da44c7a.jpg",$19.95
Genevieve,https://www.glassesshop.com/eyeglasses/fz1269,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc509cca408.jpg",$34.95
Hyannis,https://www.glassesshop.com/eyeglasses/fp1110,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201708/5983fe65ed003.jpg",$29.95
Jerry,https://www.glassesshop.com/eyeglasses/fp1593,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afb961147318.jpg",$24.95
Eleanor,https://www.glassesshop.com/eyeglasses/fp1949,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f28fbbee8ec8.jpg",$12.95
Leigh,https://www.glassesshop.com/eyeglasses/fz1368,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd885fb9.jpg",$29.95
Flushing,https://www.glassesshop.com/eyeglasses/fp1972,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5da92ccb3d0a5.jpg",$12.95
Kelowna,https://www.glassesshop.com/eyeglasses/fp1409,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201710/59e4597b52b63.jpg",$19.95
Benjamin,https://www.glassesshop.com/eyeglasses/fm1467,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202006/5eddb2edc1f7e.jpg",$29.95
Fresno,https://www.glassesshop.com/eyeglasses/fp2037,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e377f6ae302a.jpg",$12.95
Arlene,https://www.glassesshop.com/eyeglasses/fp1764,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201808/5b7e0ee2975f3.jpg",$24.95
Burke,https://www.glassesshop.com/eyeglasses/fm1245,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b0fae09bbb09.jpg",$24.95
Baldwin,https://www.glassesshop.com/eyeglasses/fp1618,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5afe7d156f3d7.jpg",$19.95
